Motivo;Sitio;Asignación;Dias y Hora Servicio
ALARMA;006 Estación Elevadora Centro - Ayacucho 750 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;008 Planta de Osmosis Inversa La Lata - Cristóbal Colón y Maipú - Esteban Echeverría;Movil 4 Ezeiza - 113955-6058;Todos los dias - 24 hs
ALARMA;009 Tanque Devoto - Gualeguaychú 3125 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;012 Estación de Bombeo Cloacal Costanzo ZG_21 - Mainer esq. Chimondegui - Monte Grande - Esteban Echeverría ;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;015 Estación de Bombeo Cloacal ZC-01 Barrio Alas - Calle El Quebracho y La Guifra - Ciudad Evita - La Matanza;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;017 Estación Elevadora 3 de Febrero - Marcelo T. de Alvear y calle Ramón Gómez - Tres de Febrero;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;"020 Predio Centro ""La Gotita"" - Ayacucho 760 ";Movil 2 Caba - 113735-4716;L a V 17 pm a 07 am - SDF 24 hs
ALARMA;021 Estación Elevadora Saavedra - Mariano Acha 3465 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;022 Estación Elevadora Floresta - Ameghino 1452 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;026 Oficina Comercial Belgrano - Luis María Campos 786 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
RECORRIDO;030 Tanque Spegazzini - Palacios, e/ Rosario y Martinez Estrada - Spegazzini;Movil 5 Canning - 112028-5249;Todos los dias - 24 hs
ALARMA;033 Estación de Bombeo Cloacal ZC-15 Lugano I y II - Cafayate 4906 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;034 Estación de Bombeo Cloacal ZC-16 Lugano I y IV - Av. Coronel Roca 5355 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA - CERCO;038 Estación de Bombeo Cloacal Boulogne - Maestra Vicenta Ravelo 2602 esq. Junin - Boulogne;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA - CERCO;039 Estación de Bombeo Cloacal ZN-8 San Fernando - Pocitos Nº 3023 e./ Suipacha e Italia - San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;040 Estación de Bombeo Cloacal La Quema - Av. Amancio Alcorta 2925 ;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA - CERCO;041 Estación de Bombeo Cloacal Centro ZC-29 Williams Morris - Fernández de Encizo 2139 esq. Cañuelas - Hurlingham;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA;043 Planta Depuradora Barrio 1 - Ing. Renón y Jorge Newbery - E. Echeverria;Movil 6 Luis Guillon - 113559-5887;L a V 16 pm a 08 am - SDF 24 hs
ALARMA;045 Estación de Bombeo Cloacal Lomas Este - Armesti y Costa Rica - Lomas de Zamora;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;046 Estación de Bombeo Cloacal ZN_25 Vicente López  - Eduardo Madero esq. Dr. Penna - Vicente Lopez;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA - CERCO;047 Estación de Bombeo Liquidos Cloacales Soldati - Fructuoso Rivera 2783 - Villa Soldati;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;048 Estación de Distribución Gral. Pacheco - 25 de Mayo y Uruguay - Gral. Pacheco;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;049 Tanque Acassuso - Estrada 868 - Acassuso;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;052 Estación Elevadora Morón - Acceso Oeste y Derqui - Morón;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;057 Estación Elevadora Villa Adelina - Cajaraville 3100 - Carapachay;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA - CERCO;058 Estación de Bombeo Cloacal ZF_04 Bº San Alberto - Cristiania 4932 - La Matanza;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;069 Estación Elevadora La Matanza - San Martín y Nazca - San Justo;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;070 Tanque 24 de Febrero Fonavi - Ing. Pablo Marín e Yrigoyen - Escobar;Movil 13 Tigre - 112294-6632;Todos los dias - 24 hs
ALARMA - CERCO;072 Estación de Bombeo Cloacal Avellaneda Este - Coronel Lynch 955 - Avellaneda;Movil 11 Berazategui - 112189-6034;L a V 16 pm a 08 am - SDF 24 hs
RECORRIDO;074 – Planta Depuradora Berazategui (VIVERO);Móvil 22 – Bernal - 1120314941;Todos los dias - 24 hs
ALARMA - CERCO;082 Estación de Bombeo Cloacal Falucho - Misiones 711 esq Falucho - Quilmes;Móvil 22 – Bernal - 1120314941;L a V 16 pm a 08 am - SDF 24 hs
ALARMA - CERCO;083 Estación Elevadora Quilmes - Lynch 1651 - Wilde;Movil 11 Berazategui - 112189-6034;L a V 16 pm a 08 am - SDF 24 hs
ALARMA;084 Planta Potabilizadora y Estación de Bombeo Cloacal Fleni - Colectora Este AU Panamericana Ramal Pilar Km. 52 - Escobar;Movil 13 Tigre - 112294-6632;Todos los dias - 24 hs
ALARMA;088 Planta de Tto. de Nitratos Alte. Brown - Constitución 429 - Adrogué;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA - CERCO;089 Estación Elevadora Bº Municipal y Cisterna - Av. Central e./calle 600 y 700 - Ciudad Evita - La Matanza;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;090 Planta Dique Luján - Belgrano 1010 y Alberdi - Tigre;Movil 13 Tigre - 112294-6632;Todos los dias - 24 hs
ALARMA;098 Planta Desnitrificadora Llavallol - Néstor de la Peña e./Húsares y Moldes - Llavallol;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA - CERCO;101 Estación de Bombeo Cloacal Loma Hermosa - Las Flores y 3 de Febrero - Loma Hermosa;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;102 Estación de Bombeo Cloacal Hurlingham - Roca 409 y Av. Marquez - Morón;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;106 Estación de Bombeo Cloacal ZC-03 Bº Sarmiento - Pablo 6º y Cura Brochero - Villa Celina - La Matanza;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA - CERCO;107 107 Base Olimpo - Av. Olimpo 1876 esq. La Ilíada - Esteban Echeverria;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;"108 Planta de Osmosis "" La Celia"" - Río Pilcomayo esq. Río Gualeguay - Barrio La Celia - Ezeiza";Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;109 Tanque Barrio Sarmiento - Almte J. R. Lopez 2479 e./ Int. Juan Irigoin y Las Malvinas - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA;110 Estación de Bombeo Cloacal Victoria - Mendoza 3600 esq. M. Rodriguez - San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;111 Estación de Bombeo Cloacal Almafuerte - El Zorzal e./ Baigorria y Rep. Argentina - Lomas de Zamora;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;112 Tanque Cisterna Barrio Primavera - Eduardo Wilde 4565, e/ Fragata Sarmiento y Corbeta Uruguay - José C. Paz;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA - CERCO;113 Estación de Bombeo Cloacal ZC-13 Chilavert - Esmeralda 6681 esq. Rawson - José L. Suarez;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA - CERCO;114 Estación de Bombeo Cloacal ZN-18 Boulogne - Bomberos Voluntarios esq. Gorriti - San Isidro;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;118 Estación de Bombeo Adrogué Sur - W. Wilson y Luis de Tejeda - Alte. Brown;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA - CERCO;119 Planta de Rebombeo Llavallol - Magallanes e./Ucrania y Duhalde - Llavallol;Movil 1 La Lata - 113241-1045;L a V 16 pm a 08 am - SDF 24 hs
ALARMA - CERCO;121 Estación de Bombeo Cloacal Solano La Florida - Calle 832 (N°: 1043) e/880 y 882 - La Florida - Quilmes;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA - CERCO;125 Estación de Bombeo Cloacal Algarrobo - Algarrobo y Aliso - Barrio Manzanares - La Matanza;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA - CERCO;126 Estación de Bombeo Cloacal Venezuela - Venezuela y J. I. Rucci - Barrio Manzanares - La Matanza;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA - CERCO;127 Estación de Bombeo Cloacal La Candela - Triunvirato y Centenera - Barrio Manzanares - La Matanza;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA - CERCO;128 Estación de Bombeo Cloacal Los Cedros -  Urdeneta esq. Jofre - Laferrere - La Matanza;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA - CERCO;129 Estación de Bombeo Cloacal Ramal Quilmes Sur - Calle 887 esq. 808 (ingreso por calle 889) - San Fco. de Solano;Movil 11 Berazategui - 112189-6034;L a V 16 pm a 08 am - SDF 24 hs
ALARMA;133 Estación de Bombeo Cloacal Magdalena - Presbitero Jose Malabia al 800 e/ Gral. Levalle y Gral. Palacios - Banfield - Lomas de Zamora;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;134 Estación de Bombeo Cloacal Balcarce Sur - Dardo Rocha al 3600 Quirno Costa - Lanus- Remedios de Escalada;Movil 11 Berazategui - 112189-6034;L a V 16 pm a 08 am - SDF 24 hs
