Pozo;Ubicación/Calle/Dirección;Asignación;Dias y Hora Servicio
POZO_LLAVALLOL_LO135;Macedonio Rodriguez y Matienzo, a 1500 mts del Pozo N° 140.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO139;Amat y Mercedes a 1500 mts del Pozo N° 133.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO140;Amat al 2900, a 1000 mts del Pozo N° 139.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO119;Pino y Ombú;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LA_LATA_EE027;Maipu 971 esq. Colón;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE029;Lavalle y Junín, a 800 mts de Planta Tratamiento La Lata;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE030;Lavalle y Calle N° 13, a 600 mts del Pozo N° 29.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE031;Lavalle y Calle N° 15, a 1000 mts del Pozo N° 30.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE032;Lavalle y Torquinst, a 800 mts del Pozo N° 31.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE033;Lavalle y Villariño, a 800 mts del Pozo N° 32.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE035;Avila y Juana de Arco, a 1200 mts del Pozo 27 y 700 mts del Pozo 36;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE036;Avila a 700 mts del Pozo 35.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE046;Lavalle y Ruta N° 16 a 800 mts del Pozo N° 33;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO078;Arenales y José Ingenieros, a 700 mts de Camino de Cintura.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO142;José Ingenieros y Melián, a 100 mts del Pozo  N° 78.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO132;José Ingenieros al 2700 y Founrouge, detrás del Parque Industrial Burzaco.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO093;Ruta N° 16 y José Ingenieros a 1500 mts del Pozo 137.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO126;Av. Argentina y Founrouge, a 800 mts del Pozo N° 144.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE073;Gral. Villegas y C. Colón - Esteban Echeverría;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO149;Rene Vallo y J. Melián (plaza) Burzaco . Pdo. de Almirante Brown.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LA_LATA_EE040;Ventura Avila y Juana de Arco - Esteban Echeverría;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE044;Juana de Arco a 500mt del Pozo EE045;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO086;RP 16  e/ Posadas y Hilario Ascasubi;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO087;RP 16  e/ Malvinas Argentinas y Boulogne Sur Mer;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO145;Villarino e/ Av. Argentina y Leandro N. Alem;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE028;General Lavalle 4001 y Maipú.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE034;Maipú e/Crristobal Colón y Ventura Ávila.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO079;Juan Alvarez de Arenales a 200 mts. de Luis María Drago;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO144;Av. Argentina a 400m de RP16;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO084;Luis Maria Drago 2633 - Lomas de Zamora;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
